Region name ,Local authority name,StudentRate,vacantrooms,housingcompletion,homelessness,median housing price,unaffordability,HousingStock,NewAffordable,VacancyRate,NARate
North West,Wigan,0.172428871,4344,1120,3.98,183551,7.99,149783,351,0.029001956,0.00234339
South West,Wiltshire,0.166492924,5895,2490,1.71,356789,10.44,224194,683,0.026294192,0.003046469
South East,Winchester,0.211630206,1437,850,1.45,546722,12.13,54180,528,0.026522702,0.009745293
South East,Windsor and Maidenhead,0.18979524,1475,720,1.29,664278,9.31,65214,84,0.022617843,0.001288067
North West,Wirral,0.175959325,4506,460,2.22,226529,11.89,150300,303,0.02998004,0.002015968
South East,Woking,0.185967309,1068,270,2.15,514814,7.79,43270,178,0.024682228,0.004113705
South East,Wokingham,0.202335748,1445,960,1.19,508727,11.45,71109,338,0.020320916,0.004753266
West Midlands,Wolverhampton,0.211904735,3272,530,4.79,199928,8.56,112202,419,0.029161691,0.003734336
West Midlands,Worcester,0.195698635,1204,410,5.07,248057,9.49,46599,173,0.025837464,0.003712526
South East,Worthing,0.162190806,1362,280,3.2,353959,,51324,11,0.026537292,0.000214325
West Midlands,Wychavon,0.153513473,1415,510,1.85,345005,11.23,59772,385,0.023673292,0.006441143
North West,Wyre,0.156429771,905,720,2.54,201169,9.25,53346,291,0.016964721,0.005454954
West Midlands,Wyre Forest,0.157833614,1324,220,1.56,250385,8.98,47499,100,0.027874271,0.002105307
Yorkshire and The Humber,York,0.240502709,2521,220,2.22,318802,9.87,91209,180,0.027639816,0.001973489
