Region name ,Local authority name,StudentRate,vacantrooms,housingcompletion,homelessness,median housing price,unaffordability,HousingStock,NewAffordable,VacancyRate,NARate
South East,Maidstone,0.171496513,1731,1310,3.51,375889,12.1,74866,387,0.02312131,0.005169236
East of England,Maldon,0.15158289,662,340,1.66,416479,16.05,29451,217,0.022478014,0.007368171
West Midlands,Malvern Hills,0.157927182,1022,380,1.28,348939,10.35,37109,282,0.027540489,0.007599235
North West,Manchester,0.283077085,5425,1790,6.76,255355,11.21,235024,475,0.023082749,0.00202107
East Midlands,Mansfield,0.165746456,1276,260,1.8,185260,8.8,49962,21,0.02553941,0.000420319
South East,Medway,0.193002899,3112,750,4.46,301523,10.18,117366,383,0.026515345,0.003263296
East Midlands,Melton,0.160670119,610,320,1.8,300651,8.44,23829,47,0.02559906,0.001972387
South West,Mendip,0.167018408,1293,310,2.49,345812,10.61,53113,65,0.024344322,0.001223806
London,Merton,0.192158448,2431,740,1.96,769777,14.94,85559,296,0.028413142,0.003459601
South West,Mid Devon,0.164824024,1088,230,3.02,319877,14.3,37577,8,0.028953881,0.000212896
East of England,Mid Suffolk,0.151378827,1034,860,1.73,334411,10.26,46594,269,0.022191699,0.005773276
South East,Mid Sussex,0.177090571,1773,840,1.56,470578,13.62,66601,398,0.026621222,0.005975886
North East,Middlesbrough,0.226404213,2679,490,6.65,150760,9.5,64362,166,0.04162394,0.002579162
South East,Milton Keynes,0.208695046,2767,2350,5.7,341520,11.11,117306,913,0.023587881,0.007783063
South East,Mole Valley,0.167669878,1007,70,1.94,629594,12.2,39206,1,0.025684844,2.55E-05
South East,New Forest,0.146559718,2030,150,1.6,467622,11.37,82991,57,0.024460484,0.000686821
East Midlands,Newark and Sherwood,0.163033931,1698,620,1.1,247225,7.92,55759,150,0.030452483,0.002690149
